1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FORMAT_VERSION, Value : 13.0, Default : 13.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : SYSID_THISMAV, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : SYSID_MYGCS, Value : 255.0, Default : 255.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : AUTOTUNE_LEVEL, Value : 6.0, Default : 6.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : AUTOTUNE_OPTIONS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TELEM_DELAY, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GCS_PID_MASK, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : KFF_RDDRMIX, Value : 0.5, Default : 0.5}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : KFF_THR2PTCH, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STAB_PITCH_DOWN, Value : 2.0, Default : 2.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GLIDE_SLOPE_MIN, Value : 15.0, Default : 15.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GLIDE_SLOPE_THR, Value : 5.0, Default : 5.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STICK_MIXING, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_THR_MINSPD, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_THR_MINACC, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_THR_DELAY, Value : 2.0, Default : 2.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_THR_MAX_T, Value : 4.0, Default : 4.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_THR_MIN, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_OPTIONS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_TDRAG_ELEV, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_TDRAG_SPD1, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_ROTATE_SPD, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_THR_SLEW, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_PLIM_SEC, Value : 2.0, Default : 2.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_FLAP_PCNT, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : LEVEL_ROLL_LIMIT, Value : 5.0, Default : 5.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : USE_REV_THRUST, Value : 2.0, Default : 2.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ALT_OFFSET, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : WP_RADIUS, Value : 90.0, Default : 90.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : WP_MAX_RADIUS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : WP_LOITER_RAD, Value : 60.0, Default : 60.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RTL_RADIUS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : STALL_PREVENTION, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : AIRSPEED_CRUISE, Value : 12.0, Default : 12.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : AIRSPEED_MIN, Value : 9.0, Default : 9.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : AIRSPEED_MAX, Value : 22.0, Default : 22.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : AIRSPEED_STALL, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FBWB_ELEV_REV, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TERRAIN_FOLLOW, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TERRAIN_LOOKAHD, Value : 2000.0, Default : 2000.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FBWB_CLIMB_RATE, Value : 2.0, Default : 2.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : THR_MIN, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : THR_MAX, Value : 100.0, Default : 100.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TKOFF_THR_MAX, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : THR_SLEWRATE, Value : 100.0, Default : 100.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLAP_SLEWRATE, Value : 75.0, Default : 75.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : THR_SUPP_MAN, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : THR_PASS_STAB, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : THR_FAILSAFE, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : THR_FS_VALUE, Value : 950.0, Default : 950.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TRIM_THROTTLE, Value : 45.0, Default : 45.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : THROTTLE_NUDGE, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FS_SHORT_ACTN, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FS_SHORT_TIMEOUT, Value : 1.5, Default : 1.5}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FS_LONG_ACTN, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FS_LONG_TIMEOUT, Value : 5.0, Default : 5.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FS_GCS_ENABL, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLTMODE_CH, Value : 8.0, Default : 8.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLTMODE1, Value : 11.0, Default : 11.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLTMODE2, Value : 11.0, Default : 11.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLTMODE3, Value : 5.0, Default : 5.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLTMODE4, Value : 5.0, Default : 5.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLTMODE5, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : FLTMODE6, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : INITIAL_MODE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ROLL_LIMIT_DEG, Value : 45.0, Default : 45.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_LIM_MAX_DEG, Value : 20.0, Default : 20.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_LIM_MIN_DEG, Value : -25.0, Default : -25.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ACRO_ROLL_RATE, Value : 180.0, Default : 180.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ACRO_PITCH_RATE, Value : 180.0, Default : 180.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ACRO_YAW_RATE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ACRO_LOCKING, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GROUND_STEER_ALT, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GROUND_STEER_DPS, Value : 90.0, Default : 90.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : MIXING_GAIN, Value : 0.5, Default : 0.5}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RUDDER_ONLY, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : MIXING_OFFSET, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : DSPOILR_RUD_RATE, Value : 100.0, Default : 100.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : LOG_BITMASK, Value : 65535.0, Default : 65535.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : SCALING_SPEED, Value : 15.0, Default : 15.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : MIN_GROUNDSPEED, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_TRIM_DEG, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RTL_ALTITUDE, Value : 100.0, Default : 100.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : CRUISE_ALT_FLOOR, Value : 0.0, Default : 0.0}
